"EUR","DNK","CZE","HUN","POL","SWE","NOR"
0.00142445335261099,0.00146336390700741,-0.000552291853296527,-0.000830882872997485,0.00495867356744495,7.28395781455227e-05,0.00511452811124613
-0.00149233510262858,-0.00150884429359843,0.00122105032358677,-0.00380251161789236,-0.00533979754129121,-0.00184447421000966,-0.00381188857267167
-0.00776888192564568,-0.00796358513246487,-0.00580698123173162,-0.00380200084605598,-0.00495046216452555,-0.00582545813940261,-0.00488284330051769
-0.00638278135506637,-0.00627290002344516,-0.00826439518582367,-0.0054115825589518,-0.0114359012738252,-0.00456841823424803,-0.00616124547886621
0.00165107357265337,0.001677852742616,-0.00222224896483025,0.000345741540087374,-0.00526261236465686,0.00276855512562868,-0.000933140958904399
0.000893194604024761,0.000948308077824755,-5.35250305278012e-05,-0.00143180114432351,-0.00212701925380832,-0.000125008732390519,-0.00511720362101187
0,4.60114936791101e-05,0.00280967931645204,0.00320010551196503,0.00237487705551631,0.000646935167314844,-0.00258164367444635
0.00616187079040859,0.00614647000469182,0.00970667279514847,0.014991527553871,0.0140971187805197,0.0127717708590191,0.00801289847093356
-0.00102434536221563,-0.00102484338932918,-0.00332886262883125,-0.00127415569986677,0.00235353705625441,0.00315857605195102,-0.00421299832994393
-0.00424512790886994,-0.00421103471373652,-0.00221616970523231,-0.00760702427783588,-0.0111717353761063,-0.00204179227282886,-0.00308796553858537
0.00520121621498593,0.00521758653547755,0.00688862926424605,0.00766406637478401,0.00356819938626596,0.00440419435116901,0.00552877282874631
0.00333912879677423,0.00329621963994819,0.00402227910705255,0.00663061773623674,0.00687191786185193,0.00313401961858872,0.00171985602590219
0.00549545126020512,0.00540922703511049,0.00551685288928727,0.0074882668239109,0.00243664837907231,0.00783873779630806,0.00301351956037577
-0.00054141852973888,-0.000680225861205752,0.000390950856548056,0.000829673695968758,0.000417115651360156,0.00253762013442937,0.00146862683742022
-0.000609446438366024,-0.000880445544138908,-0.00250974277758864,-0.00188307707268986,0.00426543396347334,0.00387240739840067,0.00273163794870079
-0.000542042157048062,-0.000526822545655836,-0.00284500405785026,-0.00597870542012835,0.003126811043489,-0.00623161349045809,0.00025110942874651
-0.00346244278157154,-0.0033308488959416,0.000242151770947441,-0.00345899408177353,0.00925384094098591,-0.00250785174361745,-0.00546938083716775
-0.00129300096274787,-0.00119489039013088,-0.00406953086888162,-0.00543199528455585,0.00140034519186316,-0.000744276618986905,-0.00154203378598439
6.8094378835315e-05,0.000155142754460158,0.000116961076175315,-0.00318261557822108,0.00131317542938425,0.00195254590257221,-0.000453479152091152
0.0061095838675202,0.00619512468025318,0.00499589290540348,0.00339004383952179,-0.00126198045330672,0.0071197988258862,0.00353517251650137
